INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);SECTOR IES;CARACTER IES;MUNICIPIO DE DOMICILIO DE LA IES;PROGRAMA ACADÉMICO;ÁREA DE CONOCIMIENTO;SEXO;AÑO;SEMESTRE;MATRICULADOS 
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA FINANCIERA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;59
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;64
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;63
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;13
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;14
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA CIVIL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;456
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA CIVIL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;435
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA CIVIL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;199
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA CIVIL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;184
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;MICROBIOLOGÍA;MATEMÁTICAS Y CIENCIAS NATURALES;HOMBRE;2019;1;32
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;MICROBIOLOGÍA;MATEMÁTICAS Y CIENCIAS NATURALES;HOMBRE;2019;2;34
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;MICROBIOLOGÍA;MATEMÁTICAS Y CIENCIAS NATURALES;MUJER;2019;1;90
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;MICROBIOLOGÍA;MATEMÁTICAS Y CIENCIAS NATURALES;MUJER;2019;2;83
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;NUTRICION Y DIETETICA;CIENCIAS DE LA SALUD;HOMBRE;2019;1;33
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;NUTRICION Y DIETETICA;CIENCIAS DE LA SALUD;HOMBRE;2019;2;40
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;NUTRICION Y DIETETICA;CIENCIAS DE LA SALUD;MUJER;2019;1;83
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;NUTRICION Y DIETETICA;CIENCIAS DE LA SALUD;MUJER;2019;2;105
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;ARQUITECTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;283
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;ARQUITECTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;253
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;ARQUITECTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;214
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;ARQUITECTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;207
