INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);SECTOR IES;CARACTER IES;MUNICIPIO DE DOMICILIO DE LA IES;PROGRAMA ACADÉMICO;ÁREA DE CONOCIMIENTO;METODOLOGIA;SEXO;AÑO;SEMESTRE;MATRICULADOS 
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;QUIMICA INDUSTRIAL;MATEMÁTICAS Y CIENCIAS NATURALES;PRESENCIAL;HOMBRE;2019;2;21
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA FISICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;11
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;MEDICINA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;2;21
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRONICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;62
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;70
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;SANTA ROSA DE CABAL;PROFESIONAL EN  AGROINDUSTRIA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;17
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA QUIMICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;5
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;1;4
